;Etiquetas de columna;;;
;2022;;2023;
Etiquetas de fila;Suma de ENCUESTADOS;Suma de ADM Y CAJA AMABILIDAD AMB;Suma de ENCUESTADOS;Suma de ADM Y CAJA AMABILIDAD AMB
CLINICA SANTA ISABEL;101;91%;3400%;87%
CLINICA RICARDO PALMA (SEDE CENTRAL);617;90%;25600%;87%
CLINICA INTERNACIONAL (MEDICENTRO SAN ISIDRO);38;89%;2800%;79%
CLINICA MONTESUR;11;89%;700%;83%
CLINICA ANGLOAMERICANA SAN ISIDRO;424;86%;20500%;86%
CLINICA STELLA MARIS;465;84%;22800%;81%
CLINICA GOOD HOPE;539;82%;19600%;81%
CLINICA SAN PABLO (SEDE CENTRAL);161;81%;6700%;83%
AUNA CLINICA DELGADO;315;79%;15600%;86%
CLINICA PADRE LUIS TEZZA;353;79%;12200%;77%
CLINICA SAN FELIPE;8263;78%;245000%;76%
CLINICA CENTENARIO PERUANO JAPONESA;451;77%;17800%;78%
CENTRO AMBULATORIO CL. INTERNACIONAL-SEDE SURCO;92;77%;4100%;77%
CLINICA INTERNACIONAL SEDE LIMA;226;74%;10300%;76%
CLINICA SAN GABRIEL;293;73%;10400%;70%
SANNA CENTRO CLINICO MIRAFLORES;2423;73%;55900%;63%
CLINICA VESALIO;392;72%;12900%;78%
SANNA CENTRO CLINICO LA MOLINA;1647;71%;33300%;72%
CLINICA SANNA EL GOLF;11435;71%;262900%;71%
CLINICA INTERNACIONAL SAN BORJA;326;71%;17300%;75%
CLINICA JAVIER PRADO;294;71%;13200%;66%
SANNA CENTRO CLINICO CHACARILLA;2812;69%;52600%;69%
CLINICA SAN JUDAS TADEO;332;68%;12100%;67%
CLINICA JESUS DEL NORTE;221;65%;7500%;71%
SANNA SAN BORJA;12041;62%;206900%;60%
POLICLINICO ASIA - SAN PABLO;2;;400%;
