;Etiquetas de columna;;;
;2022;;2023;
Etiquetas de fila;Suma de ENCUESTADOS;Suma de TIEMPO ESPERA HASTA LLEGAR A LA HABITACION;Suma de ENCUESTADOS;Suma de TIEMPO ESPERA HASTA LLEGAR A LA HABITACION
AUNA CLINICA DELGADO;19;;4;
CLINICA ANGLOAMERICANA SAN ISIDRO;19;;5;
CLINICA CENTENARIO PERUANO JAPONESA;30;;12;
CLINICA GOOD HOPE;50;;12;
CLINICA INTERNACIONAL SAN BORJA;9;;6;
CLINICA INTERNACIONAL SEDE LIMA;9;;3;
CLINICA JAVIER PRADO;18;;10;
CLINICA JESUS DEL NORTE;17;;3;
CLINICA MONTESUR;5;;1;
CLINICA PADRE LUIS TEZZA;19;;7;
CLINICA RICARDO PALMA (SEDE CENTRAL);37;;13;
CLINICA SAN FELIPE;827;69%;208;
CLINICA SAN GABRIEL;28;;10;
CLINICA SAN JUDAS TADEO;12;;3;
CLINICA SAN PABLO (SEDE CENTRAL);11;;5;
CLINICA SANNA EL GOLF;1247;54%;191;55%
CLINICA SANTA ISABEL;24;;4;
CLINICA STELLA MARIS;17;;13;
CLINICA VESALIO;15;;5;
SANNA SAN BORJA;606;65%;105;85%
