;Etiquetas de columna;;;
;2022;;2023;
Etiquetas de fila;Suma de ENCUESTADOS;Suma de ALTA CUMPLIMIENTO DE FECHA DE HORA;Suma de ENCUESTADOS;Suma de ALTA CUMPLIMIENTO DE FECHA DE HORA
CLINICA MONTESUR;5;100%;1;
CLINICA INTERNACIONAL SAN BORJA;9;100%;6;33%
CLINICA ANGLOAMERICANA SAN ISIDRO;19;94%;5;80%
CLINICA SANTA ISABEL;24;90%;4;100%
CLINICA SAN PABLO (SEDE CENTRAL);11;86%;5;75%
SANNA SAN BORJA;606;84%;10500%;100%
CLINICA INTERNACIONAL SEDE LIMA;9;83%;3;100%
CLINICA SAN JUDAS TADEO;12;83%;3;33%
CLINICA RICARDO PALMA (SEDE CENTRAL);37;81%;13;78%
CLINICA STELLA MARIS;17;80%;13;82%
CLINICA SAN FELIPE;827;78%;208;
AUNA CLINICA DELGADO;19;78%;4;50%
CLINICA CENTENARIO PERUANO JAPONESA;30;77%;12;80%
CLINICA PADRE LUIS TEZZA;19;76%;7;100%
CLINICA VESALIO;15;75%;5;100%
CLINICA SANNA EL GOLF;1247;74%;191;67%
CLINICA SAN GABRIEL;28;73%;10;63%
CLINICA GOOD HOPE;50;70%;12;80%
CLINICA JAVIER PRADO;18;69%;10;86%
CLINICA JESUS DEL NORTE;17;65%;3;100%
